Model,Mean RMSE,Std RMSE
XGBoost,341933.87947967945,270.2678739654926
Random Forest (RF),361649.07764921896,6654.347030622721
L2 Regularization (Ridge),375379.65942631656,187.57897393160462
L1 Regularization (Lasso),378595.79398003203,191.8793532007282
K-Nearest Neighbors (KNN),487870.5094912206,41.52168176448973
